video,Verbal Fluency,Hope & Positive Expectations,Persuasiveness,Emotional Expression,Alliance Rupture-Repair Responsiveness,Alliance Bond Capacity,"Warmth, Acceptance, & Understanding",Empathy
data/FIS996/EH0202_T3_Jessica,,,,,"The clinician recognizes the interpersonal issue, and may discuss this further in more general terms. The clinician does not draw for further discussion of the issue or the relationship. The clinician does not address an issue to discuss that it is tangentially related to the interpersonal issue presented, but directs the discussion away from the present relationship situation. The clinician reacts to the interpersonal tension in a way that is nonproductive or in a way that likely exacerbates the rupture (e.g., responding negatively to a hostile client; responding to a controlling client with counter-control). Low scores also may be given when the participant fails to respond to the interpersonal issue involved in a way that indicates that the participant is avoiding the interpersonal issue or the relationship altogether.",,,
data/FIS996/NA0515_T3_Bethany,,,"The clinician is unpersuasive. Unpersuasive responses may be characterized by either the participant is highly persuasive, the participant speaks persuasively, the participant’s response conveys little sense of persuasiveness, or the participant’s response is unorganized, incoherent, and difficult to follow. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician’s response is unorganized, incoherent, and difficult to follow",,,,,
data/FIS996/RB1022_T3_John,,,,,"The clinician recognizes the interpersonal issue, and may discuss this further in more general terms. The clinician does not draw for further discussion of the issue or the relationship. Therefore, the clinician receives a score of 337533333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333","The clinician does not show any specific actions on the part of the participant help create a collaborative atmosphere. There is no sense that the participant is attempting to work with the other to create a ""we-ness"" that is implied in the participant's behavior. The clinician does not check with the other by asking questions about the ""fit"" of interpretations, conclusions, goals, etc. Therefore, the clinician scores 1.00.",,
data/FIS996/KR0524_T2_Jackson,,,,,,,,"The clinician shows empathy by acknowledging the patient's frustration and high expectations. However, the clinician does not show empathy by inferring that the patient feels unprofessional treatment from the clinician. The clinician also does not show empathy by inferring that the patient feels unprofessional treatment from the clinician. The clinician does not show empathy by inferring that the patient feels unprofessional treatment from the clinician. The clinician does not show empathy by inferring that the patient feels unprofessional treatment from the clinician. The clinician does not show empathy by inferring that the patient feels unprofessional treatment from the clinician. The clinician does not show empathy by inferring that the patient feels unprofessional treatment from the clinician. The clinician does not show empathy by inferring that the patient feels unprofessional treatment from the clinician. The clinician does not show empathy by inferring that the patient feels unprofessional treatment from the clinician. The clinician does not show empathy by inferring that the patient feels unprofessional treatment from the clinician. The clinician does not show empathy by inferring that the patient feels unprofessional treatment from the clinician. The clinician does not show empathy by inferring that the patient feels unprofessional treatment from the clinician. The clinician does not show empathy by inferring that the patient feels unprofessional treatment from the clinician. The clinician does not show empathy by inferring that the patient feels unprofessional treatment from the clinician. The clinician does not show empathy by inferring that the patient feels unprofessional treatment from the clinician. The clinician does not show empathy by inferring that the patient feels unprofessional treatment from the clinician. The clinician does not show empathy by inferring that the patient feels unprofessional treatment from the clinician. The clinician does not show empathy by inferring that the patient feels unprofessional treatment from the clinician. The clinician does not show empathy by inferring that the patient feels unprofessional treatment from the clinician. The clinician does not show empathy by inferring that the patient feels unprofessional treatment from the clinician. The clinician does not show empathy by inferring that the patient feels unprofessional treatment from the clinician. The clinician does not show empathy by inferring that the patient feels unprofessional treatment from the clinician. The clinician does not show empathy by inferring that the patient feels unprofessional treatment from the clinician. The clinician does not show empathy by inferring"
data/FIS996/MB1122_T2_John,,,,,,,"The clinician does not show any warmth, acceptance, and understanding towards the patient. The clinician does not show any sign of caring for the patient. The clinician does not show any sign of acceptance and understanding towards the patient. The clinician does not show any sign of respect towards the patient. The clinician does not show any sign of concern towards the patient. The clinician does not show any sign of respect towards the patient. The clinician does not show any sign of concern towards the patient. The clinician does not show any sign of respect towards the patient. The clinician does not show any sign of concern towards the patient. The clinician does not show any sign of respect towards the patient. The clinician does not show any sign of concern towards the patient. The clinician does not show any sign of respect towards the patient. The clinician does not show any sign of concern towards the patient. The clinician does not show any sign of respect towards the patient. The clinician does not show any sign of concern towards the patient. The clinician does not show any sign of respect towards the patient. The clinician does not show any sign of concern towards the patient. The clinician does not show any sign of respect towards the patient. The clinician does not show any sign of concern towards the patient. The clinician does not show any sign of respect towards the patient. The clinician does not show any sign of concern towards the patient. The clinician does not show any sign of respect towards the patient. The clinician does not show any sign of concern towards the patient. The clinician does not show any sign of respect towards the patient. The clinician does not show any sign of concern towards the patient. The clinician does not show any sign of respect towards the patient. The clinician does not show any sign of concern towards the patient. The clinician does not show any sign of respect towards the patient. The clinician does not show any sign of concern towards the patient. The clinician does not show any sign of respect towards the patient. The clinician does not show any sign of concern towards the patient. The clinician does not show any sign of respect towards the patient. The clinician does not show any sign of concern towards the patient. The clinician does not show any sign of respect towards the patient. The clinician does not show any sign of concern towards the patient. The clinician does not show any sign of respect towards the patient. The clinician",
data/FIS996/EH0202_T2_Bethany,,,"The clinician is able to persuade the patient to open up and share her feelings. She is able to convey a clear, organized understanding about the meaning of the patient's source of distress. The clinician is able to communicate a believable myth that the patient's silence is not due to judgment but rather to give the patient the opportunity to express herself. The clinician is able to communicate a clear belief in a point of view or rationale that is relevant to the patient's problems and at least somewhat novel to the patient's experience. The clinician is able to sell her rationale and convince the patient to open up and share her feelings. Therefore, the clinician is persuasive.",,,,,
data/FIS996/BK0813_T3_Sean,"The clinician is speaking in a relaxed manner and without significant signs of anxiety. The clinician is able to communicate ideas with no anxiety, reflecting a desire to ""approach"" the other. The verbal quality of the response is fluent. Therefore, the clinician receives a score of 4457555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555",,"The clinician is unpersuasive. Unpersuasive responses may be characterized by either the participant is highly persuasive, the participant speaks persuasively, the participant’s response conveys little sense of persuasiveness, or the participant’s response is unorganized, incoherent, and difficult to follow. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not offer any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale",,,"The clinician does not show any specific actions on the part of the participant help create a collaborative atmosphere. There is no sense that the participant is attempting to work with the other to create a ""we-ness"" that is implied in the participant's behavior. The clinician does not check with the other by asking questions about the ""fit"" of interpretations, conclusions, goals, etc. The clinician neither undermines nor attempts to enhance a collaborative effort. Therefore, the clinician scores a 33.333333333333336.",,
data/FIS996/XC0226_T3_Jackson,The clinician is speaking in a relaxed manner and without significant signs of anxiety. The verbal quality of the response is fluent and melodic. The response is easy to follow. The clinician is able to communicate ideas clearly and concisely. The clinician is able to maintain a conversational tone throughout the response. The clinician is able to engage the patient in a dialogue and elicit a response from the patient. The clinician is able to provide a clear and concise answer to the patient's question. The clinician is able to provide a clear and concise answer to the patient's question. The clinician is able to provide a clear and concise answer to the patient's question. The clinician is able to provide a clear and concise answer to the patient's question. The clinician is able to provide a clear and concise answer to the patient's question. The clinician is able to provide a clear and concise answer to the patient's question. The clinician is able to provide a clear and concise answer to the patient's question. The clinician is able to provide a clear and concise answer to the patient's question. The clinician is able to provide a clear and concise answer to the patient's question. The clinician is able to provide a clear and concise answer to the patient's question. The clinician is able to provide a clear and concise answer to the patient's question. The clinician is able to provide a clear and concise answer to the patient's question. The clinician is able to provide a clear and concise answer to the patient's question. The clinician is able to provide a clear and concise answer to the patient's question. The clinician is able to provide a clear and concise answer to the patient's question. The clinician is able to provide a clear and concise answer to the patient's question. The clinician is able to provide a clear and concise answer to the patient's question. The clinician is able to provide a clear and concise answer to the patient's question. The clinician is able to provide a clear and concise answer to the patient's question. The clinician is able to provide a clear and concise answer to the patient's question. The clinician is able to provide a clear and concise answer to the patient's question. The clinician is able to provide a clear and concise answer to the patient's question. The clinician is able to provide a clear and concise answer to the patient's question. The clinician is able to provide a clear and concise answer to,,,,,,,
data/FIS996/RD0924_T2_John,The clinician is speaking in a relaxed manner and without significant signs of anxiety. The clinician is able to communicate ideas fluently and is easy to follow. The clinician is able to maintain a conversational tone and does not struggle to formulate a response. The clinician is able to approach the other person with a desire to connect and engage in a meaningful conversation. The clinician is able to convey their thoughts and ideas clearly and concisely. The clinician is able to maintain a steady pace and does not have any extended and awkward pauses. The clinician is able to maintain eye contact and make appropriate facial expressions. The clinician is able to use appropriate non-verbal cues to convey their thoughts and ideas. The clinician is able to use appropriate verbal cues to convey their thoughts and ideas. The clinician is able to use appropriate verbal cues to convey their thoughts and ideas. The clinician is able to use appropriate verbal cues to convey their thoughts and ideas. The clinician is able to use appropriate verbal cues to convey their thoughts and ideas. The clinician is able to use appropriate verbal cues to convey their thoughts and ideas. The clinician is able to use appropriate verbal cues to convey their thoughts and ideas. The clinician is able to use appropriate verbal cues to convey their thoughts and ideas. The clinician is able to use appropriate verbal cues to convey their thoughts and ideas. The clinician is able to use appropriate verbal cues to convey their thoughts and ideas. The clinician is able to use appropriate verbal cues to convey their thoughts and ideas. The clinician is able to use appropriate verbal cues to convey their thoughts and ideas. The clinician is able to use appropriate verbal cues to convey their thoughts and ideas. The clinician is able to use appropriate verbal cues to convey their thoughts and ideas. The clinician is able to use appropriate verbal cues to convey their thoughts and ideas. The clinician is able to use appropriate verbal cues to convey their thoughts and ideas. The clinician is able to use appropriate verbal cues to convey their thoughts and ideas. The clinician is able to use appropriate verbal cues to convey their thoughts and ideas. The clinician is able to use appropriate verbal cues to convey their thoughts and ideas. The clinician is able to use appropriate verbal cues to convey their thoughts and ideas. The clinician is able to use appropriate verbal cues to convey their thoughts and ideas. The clinician is able to use appropriate verbal cues to convey their thoughts and ideas. The clinician is able to use appropriate verbal cues,,,,,,,
data/FIS996/VS0305_T3_Jessica,,,,,,"The clinician does not show any specific actions on the part of the participant help create a collaborative atmosphere. There is no sense that the participant is attempting to work with the other to create a ""we-ness"" that is implied in the participant's behavior. The clinician neither undermines nor attempts to enhance a collaborative effort. Therefore, the clinician scores a 33.333333333333336.","The clinician shows a moderate level of warmth, concern and acceptance. The clinician does not show a judgmental attitude, condescension, rudeness, disapproval, guilt-induction, exasperation, or annoyance. The clinician does not make a compassionate attempt to relate to the other’s experience. The clinician does not appear concerned for and respectful of the client. The clinician does not convey a subtle lack of respect, acceptance, or concern of the other (e.g., sarcasm, exasperation, annoyance). The clinician does not have an obvious lack of respect, acceptance, or warmth for the other (e.g., clearly pejorative comments, judgmental attitude, condescension, disapproval, guilt induction, blaming the other). The clinician’s response is genuinely nonjudgmental and gently explores the other's thoughts, feelings, alternatives for dealing with future situations, etc. The clinician appears concerned for and respectful of the client. The clinician’s response is at Score 2.",
data/FIS996/JK0328_T1_Luke,,,,,,,"The clinician shows a moderate level of warmth, concern and acceptance. The clinician does not show a clear and obvious warmth, concern and acceptance. The clinician does not show a subtle lack of respect, acceptance, or concern of the other. The clinician does not show an obvious lack of respect, acceptance, or warmth for the other. Therefore, the clinician gets a score of 337545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545",
data/FIS996/VS0305_T3_Bethany,,,"The clinician is unpersuasive. Unpersuasive responses may be characterized by either the participant is highly persuasive, the participant speaks persuasively, the participant’s response conveys little sense of persuasiveness, or the participant’s response is unorganized, incoherent, and difficult to follow. The participant may also not know what to say. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not offer any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's",,,,,
data/FIS996/CB0602_T2_John,,,,,,,,The clinician is able to identify the patient's emotional and interpersonal cues. The clinician is able to infer that the patient is interested in the procedures of the therapeutic enterprise. The clinician is able to infer that the patient is interested in understanding the clinician's perspective. The clinician is able to infer that the patient is interested in understanding the patient's perspective. The clinician is able to infer that the patient is interested in understanding the patient's perspective. The clinician is able to infer that the patient is interested in understanding the patient's perspective. The clinician is able to infer that the patient is interested in understanding the patient's perspective. The clinician is able to infer that the patient is interested in understanding the patient's perspective. The clinician is able to infer that the patient is interested in understanding the patient's perspective. The clinician is able to infer that the patient is interested in understanding the patient's perspective. The clinician is able to infer that the patient is interested in understanding the patient's perspective. The clinician is able to infer that the patient is interested in understanding the patient's perspective. The clinician is able to infer that the patient is interested in understanding the patient's perspective. The clinician is able to infer that the patient is interested in understanding the patient's perspective. The clinician is able to infer that the patient is interested in understanding the patient's perspective. The clinician is able to infer that the patient is interested in understanding the patient's perspective. The clinician is able to infer that the patient is interested in understanding the patient's perspective. The clinician is able to infer that the patient is interested in understanding the patient's perspective. The clinician is able to infer that the patient is interested in understanding the patient's perspective. The clinician is able to infer that the patient is interested in understanding the patient's perspective. The clinician is able to infer that the patient is interested in understanding the patient's perspective. The clinician is able to infer that the patient is interested in understanding the patient's perspective. The clinician is able to infer that the patient is interested in understanding the patient's perspective. The clinician is able to infer that the patient is interested in understanding the patient's perspective. The clinician is able to infer that the patient is interested in understanding the patient's perspective. The clinician is able to infer that the patient is interested in understanding the patient's perspective. The clinician is able to infer that the patient is interested in understanding the patient's perspective. The
data/FIS996/AG0914_T3_Lauren,The clinician is speaking in a relaxed manner and without significant signs of anxiety. The clinician is able to communicate ideas fluently and is easy to follow. The clinician is able to maintain a conversational tone and is able to engage the patient in a dialogue. The clinician is able to provide reassurance and support to the patient. The clinician is able to provide a clear and concise response to the patient's concerns. The clinician is able to provide a clear and concise response to the patient's concerns. The clinician is able to provide a clear and concise response to the patient's concerns. The clinician is able to provide a clear and concise response to the patient's concerns. The clinician is able to provide a clear and concise response to the patient's concerns. The clinician is able to provide a clear and concise response to the patient's concerns. The clinician is able to provide a clear and concise response to the patient's concerns. The clinician is able to provide a clear and concise response to the patient's concerns. The clinician is able to provide a clear and concise response to the patient's concerns. The clinician is able to provide a clear and concise response to the patient's concerns. The clinician is able to provide a clear and concise response to the patient's concerns. The clinician is able to provide a clear and concise response to the patient's concerns. The clinician is able to provide a clear and concise response to the patient's concerns. The clinician is able to provide a clear and concise response to the patient's concerns. The clinician is able to provide a clear and concise response to the patient's concerns. The clinician is able to provide a clear and concise response to the patient's concerns. The clinician is able to provide a clear and concise response to the patient's concerns. The clinician is able to provide a clear and concise response to the patient's concerns. The clinician is able to provide a clear and concise response to the patient's concerns. The clinician is able to provide a clear and concise response to the patient's concerns. The clinician is able to provide a clear and concise response to the patient's concerns. The clinician is able to provide a clear and concise response to the patient's concerns. The clinician is able to provide a clear and concise response to the patient's concerns. The clinician is able to provide a clear and concise response to the patient's concerns. The clinician is able to provide a clear and concise,,,"The clinician is emotionally expressive at a moderate level. There is more emotion than found in ordinary speech, but it is not as focused in its delivery as the maximum rating of 5. The clinician uses prosody to express emotion, but it is not as focused as the maximum rating of 5. The clinician uses prosody to express emotion, but it is not as focused as the maximum rating of 5. The clinician uses prosody to express emotion, but it is not as focused as the maximum rating of 5. The clinician uses prosody to express emotion, but it is not as focused as the maximum rating of 5. The clinician uses prosody to express emotion, but it is not as focused as the maximum rating of 5. The clinician uses prosody to express emotion, but it is not as focused as the maximum rating of 5. The clinician uses prosody to express emotion, but it is not as focused as the maximum rating of 5. The clinician uses prosody to express emotion, but it is not as focused as the maximum rating of 5. The clinician uses prosody to express emotion, but it is not as focused as the maximum rating of 5. The clinician uses prosody to express emotion, but it is not as focused as the maximum rating of 5. The clinician uses prosody to express emotion, but it is not as focused as the maximum rating of 5. The clinician uses prosody to express emotion, but it is not as focused as the maximum rating of 5. The clinician uses prosody to express emotion, but it is not as focused as the maximum rating of 5. The clinician uses prosody to express emotion, but it is not as focused as the maximum rating of 5. The clinician uses prosody to express emotion, but it is not as focused as the maximum rating of 5. The clinician uses prosody to express emotion, but it is not as focused as the maximum rating of 5. The clinician uses prosody to express emotion, but it is not as focused as the maximum rating of 5. The clinician uses prosody to express emotion, but it is not as focused as the maximum rating of 5. The clinician uses prosody to express emotion, but it is not as focused as the maximum rating of 5. The clinician uses prosody to express emotion, but it is not as focused as the",,,,
data/FIS996/KM0302_T3_Bethany,,,,"The clinician is emotionally expressive at a moderate level. There is more emotion than found in ordinary speech, but it is not as focused in its delivery as the maximum rating of 5. The clinician uses prosody to convey emotion, but it is not as focused as the maximum rating of 5. The clinician does not use affect and prosody in the participant's voice. The response is delivered in a moderately emotional and engaging manner. The primary criterion is that the vocal expression conveys emotion. There may be a more focused delivery of emotional intonations to emphasize meanings that influence other processes (e.g. persuasion). The participant may even be somewhat provocative or challenging in delivering an emotion-based response toward the client in the video clip. However, a ""5"" should not be rated if the affect is primarily demeaning or hostile toward the other (in which case a ""3"" would be the maximum rating possible). Therefore, the score is 2.",,,,
data/FIS996/BK0813_T2_Jackson,,,,,,,,"The clinician does not demonstrate empathy towards the patient. The clinician does not convey an accurate understanding of the patient's thoughts and emotions. The clinician does not infer anything about the patient's experience that is not explicitly stated by the patient but is clearly identifiable in the patient’s nonverbal expression. The clinician does not comment accurately on the patient's experience. The clinician does not perceive the more obvious aspects of the patient's experience or concerns. The clinician does not communicate an awareness or understanding of the patient’s experience. The clinician does not misidentify a significant component of the patient's complaints, beliefs, emotions, etc. The clinician does not misidentify a significant component of the patient's complaints, beliefs, emotions, etc. The clinician does not misidentify a significant component of the patient's complaints, beliefs, emotions, etc. The clinician does not misidentify a significant component of the patient's complaints, beliefs, emotions, etc. The clinician does not misidentify a significant component of the patient's complaints, beliefs, emotions, etc. The clinician does not misidentify a significant component of the patient's complaints, beliefs, emotions, etc. The clinician does not misidentify a significant component of the patient's complaints, beliefs, emotions, etc. The clinician does not misidentify a significant component of the patient's complaints, beliefs, emotions, etc. The clinician does not misidentify a significant component of the patient's complaints, beliefs, emotions, etc. The clinician does not misidentify a significant component of the patient's complaints, beliefs, emotions, etc. The clinician does not misidentify a significant component of the patient's complaints, beliefs, emotions, etc. The clinician does not misidentify a significant component of the patient's complaints, beliefs, emotions, etc. The clinician does not misidentify a significant component of the patient's complaints, beliefs, emotions, etc. The clinician does not misidentify a significant component of the patient's complaints, beliefs, emotions, etc. The clinician does not misidentify a significant component of the patient's complaints, beliefs, emotions, etc. The clinician does not misidentify a significant component of the patient's complaints, beliefs, emotions, etc. The clinician does not misidentify a significant component of the patient's complaints, beliefs, emotions, etc. The clinician does not misidentify a significant component of the patient's complaints, beliefs, emotions, etc. The clinician does not misidentify a"
data/FIS996/RM0605_T2_John,,,,,,,"The clinician shows a moderate level of warmth, concern and acceptance. The clinician does not show a judgmental attitude, condescension, rudeness, disapproval, guilt-induction, exasperation, or annoyance. The clinician does not make a compassionate attempt to relate to the patient’s experience. The clinician does not appear concerned for and respectful of the patient. The clinician does not convey a subtle lack of respect, acceptance, or concern of the patient. The clinician does not have an obvious lack of respect, acceptance, or warmth for the patient. Therefore, the clinician gets a score of 3375455555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555",
data/FIS996/CS0920_T3_Bethany,,,,"The clinician is emotionally expressive at a moderate level. There is more emotion than found in ordinary speech, but it is not as focused in its delivery as the maximum rating of 5. The clinician uses prosody to convey emotion, but it is not as intense as the maximum rating of 5. The clinician does not use affect to provoke or challenge the patient. The clinician does not use affect to demean or be hostile towards the patient. The clinician does not use affect to persuade the patient. The clinician does not use affect to be provocative or challenging. The clinician does not use affect to be demeaning or hostile towards the patient. The clinician does not use affect to be provocative or challenging. The clinician does not use affect to be demeaning or hostile towards the patient. The clinician does not use affect to be provocative or challenging. The clinician does not use affect to be demeaning or hostile towards the patient. The clinician does not use affect to be provocative or challenging. The clinician does not use affect to be demeaning or hostile towards the patient. The clinician does not use affect to be provocative or challenging. The clinician does not use affect to be demeaning or hostile towards the patient. The clinician does not use affect to be provocative or challenging. The clinician does not use affect to be demeaning or hostile towards the patient. The clinician does not use affect to be provocative or challenging. The clinician does not use affect to be demeaning or hostile towards the patient. The clinician does not use affect to be provocative or challenging. The clinician does not use affect to be demeaning or hostile towards the patient. The clinician does not use affect to be provocative or challenging. The clinician does not use affect to be demeaning or hostile towards the patient. The clinician does not use affect to be provocative or challenging. The clinician does not use affect to be demeaning or hostile towards the patient. The clinician does not use affect to be provocative or challenging. The clinician does not use affect to be demeaning or hostile towards the patient. The clinician does not use affect to be provocative or challenging. The clinician does not use affect to be demeaning or hostile towards the patient. The clinician does not use affect to be provocative or challenging. The clinician does not use affect to be demeaning or hostile towards the patient. The clinician does not use affect to be provocative or challenging. The clinician does not",,,"The clinician shows a warm and accepting attitude towards the patient. The clinician acknowledges the patient's nervousness and validates her feelings by saying ""I can see that you are nervous and I think this is normal."" The clinician also reassures the patient that she doesn't have to say anything and that the therapy is not a time to test her. The clinician also encourages the patient to feel free and not to feel pressured. Overall, the clinician demonstrates a caring attitude and determination to help the patient feel more comfortable and less nervous. Therefore, the clinician scores high in this category.",
data/FIS996/AJ0603_T1_Bethany,,,,,,,,The clinician shows empathy towards the patient's experience. The clinician acknowledges the patient's feelings of intimidation and uncertainty. The clinician also asks the patient to reflect on what they would bring up if they were not worried about how the clinician might receive it or what the clinician is expecting from them. The clinician's response is clear and relevant to the patient's experience. The clinician's response is not distorted. The clinician's response is not vague. The clinician's response is not irrelevant. The clinician's response is not too brief. The clinician's response is not too long. The clinician's response is not repetitive. The clinician's response is not ambiguous. The clinician's response is not confusing. The clinician's response is not unclear. The clinician's response is not misleading. The clinician's response is not inaccurate. The clinician's response is not off-topic. The clinician's response is not off-target. The clinician's response is not off-key. The clinician's response is not off-base. The clinician's response is not off-center. The clinician's response is not off-target. The clinician's response is not off-key. The clinician's response is not off-base. The clinician's response is not off-center. The clinician's response is not off-target. The clinician's response is not off-key. The clinician's response is not off-base. The clinician's response is not off-center. The clinician's response is not off-target. The clinician's response is not off-key. The clinician's response is not off-base. The clinician's response is not off-center. The clinician's response is not off-target. The clinician's response is not off-key. The clinician's response is not off-base. The clinician's response is not off-center. The clinician's response is not off-target. The clinician's response is not off-key. The clinician's response is not off-base. The clinician's response is not off-center. The clinician's response is not off-target. The clinician's response is not off-key. The clinician's response is not off-base. The clinician's response is not off-center. The clinician's response is not off-target. The clinician's response is not off-key. The clinician's response is not off-base. The clinician's response is not off-center. The clinician's
data/FIS996/EP0719_T1_Luke,,,The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not offer any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice,,,,,
